Year,Rank,Team,Player,College,Years,Minutes,MPG,WS,WS48,BPM,VORP
2006,11,ORL,J.J. Redick,Duke,15,23964,25.5,63.7,.128,0.6,16.0
2006,12,NOK,Hilton Armstrong,UConn,6,3378,11.6,3.9,.055,-4.1,-1.8
2006,13,PHI,Thabo Sefolosha,,14,19062,21.9,39.3,.099,0.6,12.4
2006,14,UTA,Ronnie Brewer,Arkansas,8,11539,23.0,30.4,.127,1.6,10.6
2006,15,NOK,Cedric Simmons,NC State,3,705,9.4,0.1,.005,-5.0,-0.5
2006,16,CHI,Rodney Carney,Memphis,5,4600,15.4,6.2,.064,-1.6,0.5
2006,17,IND,Shawne Williams,Memphis,7,5368,17.1,6.7,.060,-2.2,-0.3
2006,18,WAS,Oleksiy Pecherov,,3,1044,9.4,0.5,.025,-4.8,-0.7
2006,19,SAC,Quincy Douby,Rutgers University,3,1535,10.7,0.0,.000,-3.5,-0.6
2006,20,NYK,Renaldo Balkman,South Carolina,6,3064,13.9,7.2,.113,0.1,1.6
2006,21,PHO,Rajon Rondo,Kentucky,15,27873,30.4,61.1,.105,1.3,23.2
2006,22,NJN,Marcus Williams,UConn,4,3095,15.2,0.0,-.001,-3.3,-1.0
2006,23,NJN,Josh Boone,UConn,4,4482,17.5,9.1,.097,-2.0,0.0
2006,24,MEM,Kyle Lowry,Villanova,15,30480,31.8,98.3,.155,3.1,39.6
2006,25,CLE,Shannon Brown,Michigan State,9,7329,18.0,9.2,.060,-1.5,1.0
2006,26,LAL,Jordan Farmar,UCLA,10,9840,19.5,13.9,.068,-0.5,3.7
2006,27,PHO,Sergio Rodríguez,,5,5281,15.0,4.3,.039,-2.0,0.1
2006,28,DAL,Maurice Ager,Michigan State,4,505,6.2,-0.9,-.089,-9.4,-0.9
2006,29,NYK,Mardy Collins,Temple,4,2771,14.7,-1.6,-.027,-4.4,-1.7
2006,30,POR,Joel Freeland,,3,1821,12.1,3.2,.084,-3.3,-0.6
2006,31,POR,James White,Cincinnati,3,583,8.7,0.8,.062,-3.2,-0.2
2006,32,HOU,Steve Novak,Marquette,11,5657,12.1,14.5,.123,0.8,4.0
2006,33,ATL,Solomon Jones,South Florida,8,3092,11.0,5.0,.078,-4.0,-1.6
2006,34,LAC,Paul Davis,Michigan State,4,702,8.6,0.5,.035,-4.2,-0.4
2006,35,TOR,P.J. Tucker,Texas,10,20548,29.1,35.0,.082,-0.9,5.8
2006,36,MIN,Craig Smith,Boston College,6,6826,16.9,16.0,.113,-1.2,1.4
2006,37,MIN,Bobby Jones,Washington,2,867,9.5,1.1,.060,-4.1,-0.5
2006,38,GSW,Kosta Perović,,1,38,5.4,0.0,.060,-5.9,0.0
2006,39,MIL,David Noel,UNC,1,792,11.6,0.4,.024,-3.1,-0.2
2006,40,SEA,Denham Brown,UConn,,,,,,,
2006,41,ORL,James Augustine,Illinois,2,156,5.8,0.3,.101,-2.7,0.0
2006,42,CLE,Daniel Gibson,Texas,7,9316,23.5,16.0,.082,-1.0,2.4
2006,43,NOK,Marcus Vinicius,,2,172,6.6,0.2,.056,-3.0,0.0
2006,44,ORL,Lior Eliyahu,,,,,,,,
2006,45,IND,Alexander Johnson,Florida State,2,1302,12.8,1.5,.056,-4.6,-0.9
2006,46,UTA,Dee Brown,Illinois,2,711,10.5,0.1,.008,-3.0,-0.2
2006,47,UTA,Paul Millsap,Louisiana Tech,15,30123,28.6,94.9,.151,1.9,29.9
2006,48,WAS,Vladimir Veremeenko,,,,,,,,
2006,49,DEN,Leon Powe,California,5,3320,13.9,12.0,.174,-1.6,0.3
2006,50,CHA,Ryan Hollins,UCLA,10,6134,11.8,10.4,.081,-4.1,-3.2
2006,51,LAL,Cheikh Samb,,2,114,5.2,-0.1,-.056,-9.1,-0.2
