Year,Rank,Team,Player,College,Years,Minutes,MPG,WS,WS48,BPM,VORP
2010,15,MIL,Larry Sanders,VCU,6,4635,19.5,10.3,.107,-1.1,1.1
2010,16,MIN,Luke Babbitt,Nevada,8,5332,14.0,7.2,.065,-2.1,-0.1
2010,17,CHI,Kevin Séraphin,,7,6430,15.2,5.9,.044,-4.3,-3.6
2010,18,OKC,Eric Bledsoe,Kentucky,11,19660,28.0,44.7,.109,1.7,18.3
2010,19,BOS,Avery Bradley,Texas,11,16745,28.0,16.0,.046,-2.3,-1.3
2010,20,SAS,James Anderson,Oklahoma State,5,4320,17.5,3.3,.037,-2.7,-0.8
2010,21,OKC,Craig Brackins,Iowa State,2,121,7.1,-0.2,-.089,-9.9,-0.2
2010,22,POR,Elliot Williams,Memphis,4,1470,13.5,0.7,.024,-4.9,-1.1
2010,23,MIN,Trevor Booker,Clemson,8,10872,20.4,26.2,.116,-0.5,4.2
2010,24,ATL,Damion James,Texas,4,623,16.0,0.0,-.001,-3.7,-0.3
2010,25,MEM,Dominique Jones,South Florida,3,741,9.3,0.3,.017,-2.4,-0.1
2010,26,OKC,Quincy Pondexter,Washington,7,5530,15.6,9.7,.084,-1.8,0.3
2010,27,NJN,Jordan Crawford,Xavier,6,6843,24.4,6.3,.044,-1.3,1.3
2010,28,MEM,Greivis Vásquez,Maryland,7,9520,23.7,12.6,.064,-1.2,1.9
2010,29,ORL,Daniel Orton,Kentucky,3,542,10.6,1.0,.093,-3.5,-0.2
2010,30,WAS,Lazar Hayward,Marquette,3,591,8.2,0.2,.020,-4.2,-0.3
2010,31,NJN,Tibor Pleiß,,1,82,6.8,-0.1,-.041,-11.6,-0.2
2010,32,MIA,Dexter Pittman,Texas,4,347,6.9,0.5,.068,-7.7,-0.5
2010,33,SAC,Hassan Whiteside,Marshall,9,11483,25.7,46.2,.193,2.6,13.3
2010,34,POR,Armon Johnson,Nevada,2,401,8.5,-0.1,-.015,-4.1,-0.2
2010,35,WAS,Nemanja Bjelica,,6,8030,21.2,16.9,.101,0.2,4.3
2010,36,DET,,Ole Miss,,,,,,,
2010,37,MIL,Darington Hobson,New Mexico,1,39,7.8,-0.2,-.225,-13.0,-0.1
2010,38,NYK,Andy Rautins,Syracuse,1,24,4.8,-0.2,-.314,-13.2,-0.1
2010,39,NYK,Landry Fields,Stanford,5,6010,23.6,10.5,.084,-0.3,2.6
2010,40,IND,Lance Stephenson,Cincinnati,9,11866,23.4,16.7,.068,-1.2,2.5
2010,41,MIA,Jarvis Varnado,Mississippi State,2,397,10.7,0.7,.089,-3.3,-0.1
2010,42,MIA,,West Virginia,,,,,,,
2010,43,LAL,Devin Ebanks,West Virginia,3,711,11.3,0.5,.035,-4.8,-0.5
2010,44,MIL,Jerome Jordan,Tulsa,2,491,7.6,1.7,.168,-1.0,0.1
2010,45,MIN,Paulão Prestes,,,,,,,,
2010,46,PHO,Gani Lawal,Georgia Tech,1,2,2.0,0.0,-.009,-15.0,0.0
2010,47,MIL,,Oklahoma,,,,,,,
2010,48,MIA,Latavious Williams,,,,,,,,
2010,49,SAS,Ryan Richards,,,,,,,,
2010,50,DAL,Solomon Alabi,Florida State,2,181,7.0,0.0,.010,-4.4,-0.1
2010,51,OKC,,Louisiana Tech,,,,,,,
2010,52,BOS,Luke Harangody,Notre Dame,2,871,12.4,0.9,.048,-3.5,-0.3
2010,53,ATL,Pape Sy,,1,21,7.0,0.0,-.047,-6.0,0.0
2010,54,LAC,Willie Warren,Oklahoma,1,134,7.1,0.2,.065,-2.7,0.0
2010,55,UTA,Jeremy Evans,Western Kentucky,7,2626,10.5,8.2,.150,0.9,1.9
2010,56,MIN,Hamady N'Diaye,Rutgers University,3,157,4.8,0.0,.013,-7.3,-0.2
2010,57,IND,Ryan Reid,Florida State,1,17,3.4,0.1,.142,-2.0,0.0
2010,58,LAL,Derrick Caracter,Texas-El Paso,1,215,5.2,0.3,.057,-7.1,-0.3
2010,59,ORL,,UConn,,,,,,,
2010,60,PHO,Dwayne Collins,Miami (FL),,,,,,,
2011,1,CLE,Kyrie Irving,Duke,10,19713,33.9,68.7,.167,4.6,32.7
2011,2,MIN,Derrick Williams,Arizona,7,8864,20.7,14.1,.076,-1.6,0.8
2011,3,UTA,Enes Kanter,,10,15690,22.0,51.4,.157,-0.2,7.3
2011,4,CLE,Tristan Thompson,Texas,10,18659,27.7,46.0,.118,-1.6,1.7
2011,5,TOR,Jonas Valančiūnas,,9,15901,25.6,60.1,.181,1.0,11.9
2011,6,WAS,Jan Veselý,,3,2455,15.2,4.0,.078,-2.6,-0.4
2011,7,SAC,Bismack Biyombo,,10,14213,20.2,27.6,.093,-2.7,-2.4
2011,8,DET,Brandon Knight,Kentucky,8,13137,29.5,11.5,.042,-1.6,1.5
2011,9,CHA,Kemba Walker,UConn,10,23718,33.7,57.7,.117,2.9,29.1
2011,10,MIL,Jimmer Fredette,BYU,6,3213,13.3,2.2,.033,-2.5,-0.4
2011,11,GSW,Klay Thompson,Washington State,8,20340,33.1,46.8,.110,0.7,14.2
2011,12,UTA,Alec Burks,Colorado,10,12061,22.2,20.0,.079,-0.9,3.4
2011,13,PHO,Markieff Morris,Kansas,10,17426,25.0,26.7,.074,-1.4,2.7
2011,14,HOU,Marcus Morris,Kansas,10,17887,26.9,34.0,.091,-0.5,6.8
2011,15,IND,Kawhi Leonard,San Diego State,10,18025,31.3,83.3,.222,6.8,40.1
2011,16,PHI,Nikola Vučević,USC,10,20451,30.6,54.4,.128,2.3,22.4
2011,17,NYK,Iman Shumpert,Georgia Tech,10,11470,24.9,12.9,.054,-1.7,0.9
2011,18,WAS,Chris Singleton,Florida State,3,2605,17.6,2.3,.042,-3.2,-0.8
2011,19,CHA,Tobias Harris,Tennessee,10,21075,31.0,52.8,.120,1.2,16.8
2011,20,MIN,Donatas Motiejūnas,,6,4566,18.2,7.1,.075,-2.5,-0.5
2011,21,POR,Nolan Smith,Duke,2,829,9.9,-0.8,-.047,-6.0,-0.8
2011,22,DEN,Kenneth Faried,Morehead State University,8,11728,24.5,38.8,.159,0.5,7.5
2011,23,HOU,Nikola Mirotić,,5,7718,24.2,20.8,.129,1.6,7.1
2011,24,OKC,Reggie Jackson,Boston College,10,15664,24.9,33.1,.101,0.4,9.5
2011,25,BOS,MarShon Brooks,Providence,5,3456,17.3,3.3,.046,-1.6,0.4
2011,26,DAL,Jordan Hamilton,Texas,5,2100,13.9,3.0,.069,-0.1,1.0
2011,27,NJN,JaJuan Johnson,Purdue,1,298,8.3,0.2,.032,-3.9,-0.1
2011,28,CHI,Norris Cole,Cleveland State University,6,8018,22.3,3.0,.018,-4.1,-4.1
2011,29,SAS,Cory Joseph,Texas,10,14561,22.0,26.2,.086,-1.0,3.8
2011,30,CHI,Jimmy Butler,Marquette,10,20933,33.1,84.4,.194,4.5,34.2
2011,31,MIA,Bojan Bogdanović,,7,15388,28.8,27.8,.087,-1.1,3.6
2011,32,CLE,Justin Harper,Richmond,3,150,6.8,-0.3,-.093,-8.7,-0.2
2011,33,DET,Kyle Singler,Duke,6,7794,21.9,10.0,.062,-2.5,-0.9
2011,34,WAS,Shelvin Mack,Butler,8,8392,18.4,10.3,.059,-1.9,0.1
2011,35,SAC,Tyler Honeycutt,UCLA,2,120,5.0,-0.1,-.049,-5.1,-0.1
2011,36,NJN,Jordan Williams,Maryland,1,635,14.8,1.3,.101,-2.1,0.0
2011,37,LAC,Trey Thompkins,Georgia,1,119,5.0,0.0,.004,-5.7,-0.1
2011,38,HOU,Chandler Parsons,Florida,9,13246,30.1,28.9,.105,1.1,10.2
2011,39,CHA,Jeremy Tyler,,3,1034,9.9,0.3,.014,-7.0,-1.3
2011,40,MIL,Jon Leuer,Wisconsin,8,5945,15.8,13.2,.107,-0.7,2.0
2011,41,LAL,Darius Morris,Michigan,4,1464,11.1,-0.3,-.010,-5.1,-1.2
2011,42,IND,Dāvis Bertāns,,5,6573,19.9,15.9,.116,0.7,4.5
2011,43,CHI,Malcolm Lee,UCLA,3,534,14.8,0.4,.040,-2.5,-0.1
2011,44,GSW,Charles Jenkins,Hofstra,2,1334,12.1,0.5,.017,-4.5,-0.8
2011,45,NOH,Josh Harrellson,Kentucky,3,888,11.8,2.1,.116,-0.4,0.4
2011,46,LAL,Andrew Goudelock,College of Charleston,3,475,9.7,0.0,.003,-5.0,-0.3
2011,47,LAC,Travis Leslie,Georgia,1,45,4.5,0.1,.060,-0.3,0.0
2011,48,ATL,Keith Benson,Oakland,1,9,3.0,0.0,-.005,-7.7,0.0
2011,49,MEM,Josh Selby,Kansas,2,296,7.8,-0.7,-.113,-9.5,-0.6
2011,50,PHI,Lavoy Allen,Temple,6,6905,17.8,13.8,.096,-2.1,-0.1
2011,51,POR,Jon Diebler,Ohio State,,,,,,,
2011,52,DET,Vernon Macklin,Florida,1,135,5.9,0.5,.161,1.2,0.1
2011,53,ORL,DeAndre Liggins,Kentucky,5,1907,10.8,1.6,.040,-2.2,-0.1
2011,54,CLE,Milan Mačvan,,,,,,,,
2011,55,BOS,E'Twaun Moore,Purdue,10,12564,21.0,14.8,.057,-1.9,0.2
2011,56,LAL,Chukwudiebere Maduabum,,,,,,,,
2011,57,DAL,,,,,,,,,
2011,58,LAL,Ater Majok,,,,,,,,
2011,59,SAS,Ádám Hanga,,,,,,,,
2011,60,SAC,Isaiah Thomas,Washington,10,15230,28.8,45.2,.142,2.2,16.3
2012,1,NOH,Anthony Davis,Kentucky,9,19401,34.4,86.8,.215,6.2,40.0
2012,2,CHA,Michael Kidd-Gilchrist,Kentucky,8,10978,24.6,21.0,.092,-1.8,0.6
2012,3,WAS,Bradley Beal,Florida,9,20979,34.7,47.4,.108,1.8,19.9
2012,4,CLE,Dion Waiters,Syracuse,8,11835,28.2,8.8,.036,-2.1,-0.4
2012,5,SAC,Thomas Robinson,Kansas,5,4204,13.4,4.6,.053,-3.5,-1.6
2012,6,POR,Damian Lillard,Weber State,9,24779,36.3,92.3,.179,4.8,42.6
2012,7,GSW,Harrison Barnes,UNC,9,21176,31.6,38.8,.088,-1.0,5.5
2012,8,TOR,Terrence Ross,Washington,9,15178,25.0,23.1,.073,-0.7,5.1
2012,9,DET,Andre Drummond,UConn,9,19832,30.7,62.6,.152,1.3,16.6
2012,10,NOH,Austin Rivers,Duke,9,14362,24.4,12.7,.043,-3.0,-3.6
2012,11,POR,Meyers Leonard,Illinois,9,7158,16.0,15.5,.104,-1.4,1.0
2012,12,HOU,Jeremy Lamb,UConn,9,10961,21.2,25.5,.112,0.8,7.6
2012,13,PHO,Kendall Marshall,UNC,4,3083,19.3,1.0,.015,-3.5,-1.1
2012,14,MIL,John Henson,UNC,8,8752,19.7,20.7,.113,-0.4,3.4
2012,15,PHI,Maurice Harkless,St. John's,9,13156,22.9,22.5,.082,-0.7,4.3
2012,16,HOU,Royce White,Iowa State,1,9,3.0,0.0,-.121,-16.9,0.0
2012,17,DAL,Tyler Zeller,UNC,8,7254,17.5,17.1,.113,-2.0,0.0
2012,18,HOU,Terrence Jones,Kentucky,6,5562,23.8,14.7,.127,0.5,3.6
2012,19,ORL,Andrew Nicholson,St. Bonaventure,5,4080,14.3,3.8,.045,-3.6,-1.6
2012,20,DEN,Evan Fournier,,9,16117,28.5,26.8,.080,-1.0,4.1
2012,21,BOS,Jared Sullinger,Ohio State,5,6532,24.3,15.3,.113,-0.4,2.7
2012,22,BOS,Fab Melo,Syracuse,1,36,6.0,0.0,.021,-7.6,-0.1
2012,23,ATL,John Jenkins,Vanderbilt,6,2183,12.8,3.0,.065,-1.9,0.1
2012,24,CLE,Jared Cunningham,Oregon State,4,605,7.2,0.2,.017,-5.7,-0.6
2012,25,MEM,Tony Wroten,Washington,4,3076,21.2,-1.3,-.021,-3.4,-1.1
2012,26,IND,Miles Plumlee,Duke,7,5658,16.4,10.6,.090,-1.9,0.2
2012,27,MIA,Arnett Moultrie,Mississippi State,2,729,12.4,1.7,.113,-2.8,-0.1
2012,28,OKC,Perry Jones,Baylor,3,1675,11.7,1.7,.048,-3.5,-0.6
2012,29,CHI,Marquis Teague,Kentucky,3,909,10.0,-0.9,-.045,-6.5,-1.0
2012,30,GSW,Festus Ezeli,Vanderbilt,3,2394,14.1,5.9,.119,-2.0,0.0
2012,31,CHA,Jeff Taylor,Vanderbilt,3,2566,19.4,1.3,.024,-4.2,-1.5
2012,32,WAS,Tomáš Satoranský,,5,7711,23.2,16.9,.105,-0.6,2.8
2012,33,CLE,Bernard James,Florida State,3,761,8.3,1.9,.117,-1.8,0.0
2012,34,CLE,Jae Crowder,Marquette,9,16676,25.0,35.9,.103,0.2,9.3
2012,35,GSW,Draymond Green,Michigan State,9,18183,28.5,49.0,.129,2.6,21.3
2012,36,SAC,Orlando Johnson,UC Santa Barbara,3,1112,10.8,1.4,.059,-2.4,-0.1
2012,37,TOR,Quincy Acy,Baylor,7,5392,16.0,8.7,.078,-2.0,-0.1
2012,38,DEN,Quincy Miller,Baylor,3,934,13.5,-0.1,-.003,-3.9,-0.5
2012,39,DET,Khris Middleton,Texas A&amp;M,9,18551,31.7,45.2,.117,0.6,12.4
2012,40,POR,Will Barton,Memphis,9,13846,25.1,22.8,.079,-0.2,6.1
2012,41,POR,Tyshawn Taylor,Kansas,2,491,8.0,-0.9,-.088,-8.1,-0.8
2012,42,MIL,Doron Lamb,Kentucky,2,1272,12.7,0.1,.005,-5.8,-1.2
2012,43,ATL,Mike Scott,Virginia,9,9182,16.5,16.8,.088,-1.8,0.6
2012,44,DET,Kim English,Missouri,1,407,9.9,0.2,.021,-4.2,-0.2
2012,45,PHI,Justin Hamilton,LSU,3,1961,17.4,3.7,.091,-0.9,0.5
2012,46,NOH,Darius Miller,Kentucky,6,5358,19.8,6.5,.059,-2.3,-0.4
2012,47,UTA,Kevin Murphy,Tennessee Technological University,1,52,3.1,-0.3,-.272,-16.8,-0.2
2012,48,NYK,Kostas Papanikolaou,,2,1089,15.8,0.3,.015,-2.7,-0.2
2012,49,ORL,Kyle O'Quinn,Norfolk State,8,6714,14.2,17.8,.128,0.9,5.0
2012,50,DEN,İzzet Türkyılmaz,,,,,,,,
2012,51,BOS,Kris Joseph,Syracuse,1,54,5.4,-0.1,-.127,-9.9,-0.1
2012,52,GSW,Ognjen Kuzmić,,2,164,4.4,0.2,.061,-5.6,-0.2
2012,53,LAC,Furkan Aldemir,,1,540,13.2,1.4,.122,-3.6,-0.2
2012,54,PHI,Tornike Shengelia,,2,247,5.5,-0.2,-.032,-7.0,-0.3
2012,55,DAL,Darius Johnson-Odom,Marquette,2,21,3.0,-0.3,-.597,-25.5,-0.1
2012,56,TOR,Tomislav Zubčić,,,,,,,,
2012,57,NJN,İlkan Karaman,,,,,,,,
2012,58,MIN,Robbie Hummel,Purdue,2,1397,14.3,1.9,.066,-3.1,-0.4
2012,59,SAS,Marcus Denmon,Missouri,,,,,,,
2012,60,LAL,Robert Sacre,Gonzaga,4,2745,14.5,2.4,.042,-4.0,-1.4
2013,1,CLE,Anthony Bennett,UNLV,4,1905,12.6,0.5,.013,-4.8,-1.3
2013,2,ORL,Victor Oladipo,Indiana,8,14968,33.0,24.6,.079,0.9,10.9
2013,3,WAS,Otto Porter,Georgetown,8,11684,26.5,31.1,.128,1.6,10.6
2013,4,CHA,Cody Zeller,Indiana,8,10618,22.7,31.0,.140,-0.5,4.1
2013,5,PHO,Alex Len,Maryland,8,10149,19.1,20.7,.098,-1.9,0.2
2013,6,NOH,Nerlens Noel,Kentucky,7,9524,22.4,26.8,.135,0.9,7.0
2013,7,SAC,Ben McLemore,Kansas,8,11249,22.9,8.2,.035,-3.1,-3.0
2013,8,DET,Kentavious Caldwell-Pope,Georgia,8,17645,29.1,31.8,.087,-0.7,5.6
2013,9,MIN,Trey Burke,Michigan,8,9960,21.8,12.9,.062,-1.2,2.0
2013,10,POR,CJ McCollum,Lehigh,8,16479,31.2,36.7,.107,1.2,13.3
2013,11,PHI,Michael Carter-Williams,Syracuse,8,9898,25.3,6.6,.032,-1.2,1.9
2013,12,OKC,Steven Adams,Pitt,8,15812,26.9,49.1,.149,0.3,9.1
2013,13,DAL,Kelly Olynyk,Gonzaga,8,12644,22.2,33.6,.128,0.9,9.0
2013,14,UTA,Shabazz Muhammad,UCLA,5,4772,17.2,8.5,.085,-2.0,0.0
2013,15,MIL,Giannis Antetokounmpo,,8,19150,32.5,74.6,.187,5.4,35.8
2013,16,BOS,Lucas Nogueira,,4,1754,12.4,6.0,.165,2.3,1.9
2013,17,ATL,Dennis Schröder,,8,14610,26.2,20.5,.067,-1.1,3.4
2013,18,ATL,Shane Larkin,Miami (FL),4,4880,19.1,4.4,.044,-2.4,-0.6
2013,19,CLE,Sergey Karasev,,3,1110,11.7,0.8,.036,-3.4,-0.4
2013,20,CHI,Tony Snell,New Mexico,8,12270,22.4,18.1,.071,-1.9,0.3
2013,21,UTA,Gorgui Dieng,Louisville,8,11896,21.5,29.5,.119,0.3,6.9
2013,22,BRK,Mason Plumlee,Duke,8,12976,22.1,39.5,.146,1.4,11.3
2013,23,IND,Solomon Hill,Arizona,8,9513,21.9,11.9,.060,-2.2,-0.4
2013,24,NYK,Tim Hardaway Jr.,Michigan,8,14592,26.8,23.8,.078,-0.9,4.1
2013,25,LAC,Reggie Bullock,UNC,8,7873,21.5,14.9,.091,-0.6,2.7
2013,26,MIN,Andre Roberson,Colorado,7,6801,22.2,12.6,.089,-0.6,2.3
2013,27,DEN,Rudy Gobert,,8,16181,29.7,74.9,.222,3.9,24.0
2013,28,SAS,Livio Jean-Charles,,,,,,,,
2013,29,OKC,Archie Goodwin,Kentucky,4,2396,14.5,1.1,.022,-3.0,-0.6
2013,30,PHO,Nemanja Nedović,,1,142,5.9,-0.4,-.132,-10.0,-0.3
2013,31,CLE,Allen Crabbe,California,7,9125,24.0,13.7,.072,-1.6,0.9
2013,32,OKC,Álex Abrines,,3,2777,16.0,5.0,.086,-1.9,0.1
2013,33,CLE,Carrick Felix,Arizona State,1,38,5.4,0.0,.057,-3.4,0.0
2013,34,HOU,Isaiah Canaan,Murray State,6,4799,20.4,4.3,.043,-2.4,-0.5
2013,35,PHI,Glen Rice Jr.,Georgia Tech,2,152,9.5,-0.2,-.065,-6.6,-0.2
2013,36,SAC,Ray McCallum,Detroit Mercy,3,2808,18.2,2.1,.035,-2.6,-0.4
2013,37,DET,Tony Mitchell,University of North Texas,1,79,3.8,0.2,.151,0.4,0.0
2013,38,WAS,Nate Wolters,South Dakota State,3,1575,18.8,0.9,.028,-2.6,-0.2
2013,39,POR,Jeff Withey,Kansas,5,2072,10.1,6.8,.157,0.5,1.3
2013,40,POR,Grant Jerrett,Arizona,1,51,6.4,-0.1,-.128,-10.8,-0.1
2013,41,MEM,Jamaal Franklin,San Diego State,2,174,7.3,0.0,-.006,-5.9,-0.2
2013,42,PHI,Pierre Jackson,Baylor,1,84,10.5,0.0,.021,-4.4,-0.1
2013,43,MIL,Ricky Ledo,Providence,2,277,9.9,-0.6,-.096,-7.6,-0.4
2013,44,DAL,Mike Muscala,Bucknell,8,6102,15.7,14.5,.114,-0.3,2.7
2013,45,POR,Marko Todorović,,,,,,,,
2013,46,UTA,Erick Green,Virginia Tech,2,452,8.7,0.1,.011,-4.0,-0.2
2013,47,ATL,Raul Neto,,6,4888,15.4,8.6,.084,-1.3,0.9
2013,48,LAL,Ryan Kelly,Duke,4,3125,19.2,3.0,.046,-2.6,-0.5
2013,49,CHI,Erik Murphy,Florida,1,62,2.6,-0.1,-.055,-8.6,-0.1
2013,50,ATL,James Ennis,Cal State Long Beach,7,7966,20.5,16.1,.097,-1.5,0.9
2013,51,ORL,Romero Osby,Oklahoma,,,,,,,
2013,52,MIN,Lorenzo Brown,NC State,5,1185,11.5,-0.2,-.007,-3.5,-0.5
2013,53,IND,Colton Iverson,Colorado State,,,,,,,
2013,54,WAS,Arsalan Kazemi,Oregon,,,,,,,
2013,55,MEM,Joffrey Lauvergne,,4,2823,13.6,5.2,.089,-2.1,-0.1
2013,56,DET,Peyton Siva,Louisville,1,224,9.3,-0.2,-.032,-6.4,-0.2
2013,57,PHO,Alex Oriakhi,Missouri,,,,,,,
2013,58,SAS,Deshaun Thomas,Ohio State,,,,,,,
2013,59,MIN,Bojan Dubljević,,,,,,,,
2013,60,MEM,Jānis Timma,,,,,,,,
2014,1,CLE,Andrew Wiggins,Kansas,7,18606,35.4,18.9,.049,-1.8,1.0
2014,2,MIL,Jabari Parker,Duke,7,8423,28.3,13.5,.077,-0.8,2.5
2014,3,PHI,Joel Embiid,Kansas,5,7943,30.6,31.6,.191,4.9,13.8
2014,4,ORL,Aaron Gordon,Arizona,7,12901,28.5,23.6,.088,0.0,6.4
2014,5,UTA,Dante Exum,,6,4545,18.6,3.1,.032,-3.3,-1.5
2014,6,BOS,Marcus Smart,Oklahoma State,7,13188,29.4,24.0,.087,-0.3,5.6
2014,7,LAL,Julius Randle,Kentucky,7,13601,30.5,28.3,.100,0.3,7.9
2014,8,SAC,Nik Stauskas,Michigan,5,6662,19.9,3.8,.028,-3.0,-1.7
2014,9,CHH,Noah Vonleh,Indiana,7,5683,16.8,9.2,.078,-2.4,-0.6
2014,10,PHI,Elfrid Payton,Louisiana,7,12834,28.5,15.9,.060,-0.8,3.8
2014,11,DEN,Doug McDermott,Creighton,7,9789,20.6,17.7,.087,-1.8,0.6
2014,12,ORL,Dario Šarić,,5,8965,25.2,16.4,.088,-0.9,2.6
2014,13,MIN,Zach LaVine,UCLA,7,12891,31.4,17.8,.066,0.1,6.7
2014,14,PHO,T.J. Warren,NC State,7,9553,28.8,19.6,.099,-0.2,4.2
2014,15,ATL,Adreian Payne,Michigan State,4,1403,13.1,-0.6,-.019,-5.9,-1.4
2014,16,CHI,Jusuf Nurkić,,7,8236,23.2,19.7,.115,0.5,5.1
2014,17,BOS,James Young,Kentucky,4,812,8.5,0.8,.046,-3.4,-0.3
2014,18,PHO,Tyler Ennis,Syracuse,4,2336,12.6,1.3,.026,-3.4,-0.8
2014,19,CHI,Gary Harris,Michigan State,7,11743,28.9,18.6,.076,-1.3,2.2
2014,20,TOR,Bruno Caboclo,,7,1293,12.3,1.5,.054,-2.7,-0.2
2014,21,OKC,Mitch McGary,Michigan,2,557,10.7,1.3,.108,-2.6,-0.1
2014,22,MEM,Jordan Adams,UCLA,2,263,8.2,0.4,.070,1.7,0.2
2014,23,UTA,Rodney Hood,Duke,7,10268,25.9,16.7,.078,-1.1,2.2
2014,24,CHH,Shabazz Napier,UConn,6,5986,17.4,8.1,.065,-0.7,2.0
2014,25,HOU,Clint Capela,,7,10572,26.6,44.5,.202,2.0,10.6
2014,26,MIA,P.J. Hairston,UNC,2,2000,18.0,0.9,.021,-3.9,-1.0
2014,27,PHO,Bogdan Bogdanović,,4,7193,28.4,12.5,.084,0.2,4.1
2014,28,LAC,C.J. Wilcox,Washington,3,376,5.7,0.1,.007,-4.3,-0.2
2014,29,OKC,Josh Huestis,Stanford,3,1068,14.1,0.7,.030,-3.5,-0.4
2014,30,SAS,Kyle Anderson,UCLA,7,9099,20.9,23.5,.124,1.8,8.7
2014,31,MIL,Damien Inglis,,1,156,7.8,-0.1,-.024,-5.6,-0.1
2014,32,PHI,K.J. McDaniels,Clemson,3,2092,14.1,1.3,.030,-2.8,-0.4
2014,33,CLE,Joe Harris,Virginia,7,10178,25.4,20.0,.094,-0.6,3.7
2014,34,NYK,Cleanthony Early,Wichita State,2,801,14.3,-0.6,-.039,-5.9,-0.8
2014,35,UTA,Jarnell Stokes,Tennessee,3,151,5.4,0.6,.202,0.1,0.1
2014,36,MIL,Johnny O'Bryant,LSU,4,1684,11.5,0.2,.006,-6.2,-1.8
2014,37,TOR,DeAndre Daniels,UConn,,,,,,,
2014,38,DET,Spencer Dinwiddie,Colorado,7,8226,25.7,18.4,.107,0.3,4.8
2014,39,PHI,Jerami Grant,Syracuse,7,12954,25.5,25.8,.095,-0.6,4.4
2014,40,MIN,Glenn Robinson III,Michigan,7,5299,17.4,7.9,.071,-1.7,0.3
2014,41,DEN,Nikola Jokić,,6,13542,29.9,64.4,.228,7.9,34.0
2014,42,HOU,Nick Johnson,Arizona,1,262,9.4,-0.1,-.020,-6.5,-0.3
2014,43,ATL,Edy Tavares,,2,101,7.8,0.2,.118,-0.4,0.0
2014,44,MIN,Markel Brown,Oklahoma State,3,1794,15.9,1.1,.029,-2.9,-0.4
2014,45,CHH,Dwight Powell,Stanford,7,7922,18.5,29.8,.180,1.4,6.7
2014,46,WAS,Jordan Clarkson,Missouri,7,14050,27.0,18.1,.062,-0.5,5.3
2014,47,PHI,Russ Smith,Louisville,2,131,4.9,-0.2,-.068,-5.1,-0.1
2014,48,MIL,Lamar Patterson,Pitt,2,435,10.9,0.1,.006,-5.7,-0.4
2014,49,CHI,Cameron Bairstow,New Mexico,2,167,4.6,-0.1,-.021,-8.1,-0.3
2014,50,PHO,Alec Brown,Green Bay,,,,,,,
2014,51,NYK,Thanasis Antetokounmpo,,3,686,8.7,0.9,.061,-3.7,-0.3
2014,52,PHI,Vasilije Micić,,,,,,,,
2014,53,MIN,Alessandro Gentile,,,,,,,,
2014,54,PHI,Nemanja Dangubić,,,,,,,,
2014,55,MIA,Semaj Christon,Xavier,1,973,15.2,0.1,.006,-5.1,-0.8
2014,56,DEN,Devyn Marble,Iowa,2,457,10.4,-0.3,-.028,-5.5,-0.4
2014,57,IND,Louis Labeyrie,,,,,,,,
2014,58,SAS,Jordan McRae,Tennessee,4,1696,13.8,1.7,.048,-2.1,0.0
2014,59,TOR,Xavier Thames,San Diego State,,,,,,,
2014,60,SAS,Cory Jefferson,Baylor,2,581,10.0,0.9,.071,-3.3,-0.2
2015,1,MIN,Karl-Anthony Towns,Kentucky,6,13996,34.3,55.8,.191,4.8,23.8
2015,2,LAL,D'Angelo Russell,Ohio State,6,10400,29.0,10.0,.046,0.4,6.4
2015,3,PHI,Jahlil Okafor,Duke,6,4827,19.5,7.2,.071,-2.1,-0.1
2015,4,NYK,Kristaps Porziņģis,,5,8905,31.1,21.5,.116,1.3,7.4
2015,5,ORL,Mario Hezonja,,5,6107,18.5,3.2,.025,-2.8,-1.2
2015,6,SAC,Willie Cauley-Stein,Kentucky,6,9093,22.6,23.1,.122,-0.1,4.4
2015,7,DEN,Emmanuel Mudiay,,5,7176,23.9,-0.2,-.001,-3.2,-2.2
2015,8,DET,Stanley Johnson,Arizona,6,7316,19.7,4.4,.029,-2.8,-1.5
2015,9,CHO,Frank Kaminsky,Wisconsin,6,7744,21.0,14.4,.089,-0.5,3.0
2015,10,MIA,Justise Winslow,Duke,6,7355,27.5,7.0,.046,-2.1,-0.2
2015,11,IND,Myles Turner,Texas,6,11144,28.6,29.7,.128,0.5,7.1
2015,12,UTA,Trey Lyles,Kentucky,6,6680,17.9,10.9,.079,-1.2,1.3
2015,13,PHO,Devin Booker,Kentucky,6,13727,33.6,22.3,.078,-0.1,6.4
2015,14,OKC,Cameron Payne,Murray State,6,3716,16.8,6.3,.081,-0.7,1.3
2015,15,ATL,Kelly Oubre Jr.,Kansas,6,10062,25.0,14.3,.068,-1.9,0.2
2015,16,BOS,Terry Rozier,Louisville,6,9980,24.7,18.1,.087,0.3,5.8
2015,17,MIL,Rashad Vaughn,UNLV,3,1671,12.0,-0.6,-.017,-4.7,-1.2
2015,18,HOU,Sam Dekker,Wisconsin,4,3096,15.5,5.4,.083,-1.4,0.5
2015,19,WAS,Jerian Grant,Notre Dame,5,4998,17.9,8.3,.080,-1.6,0.5
2015,20,TOR,Delon Wright,Utah,6,7125,21.3,19.2,.129,2.1,7.3
2015,21,DAL,Justin Anderson,Virginia,5,2964,13.1,4.6,.074,-1.4,0.5
